text,label
Can you set up a call with bella about compliance review,schedule
SEND AN EMAIL TO HIRO ABOUT THE PROJECT UPDATE,email
Urgently schedule a meeting about database migration today at 4 pm,schedule
Schedule a meeting about data pipeline next Wednesday at 11 AM please,schedule
Set up a call with Nate about user research please,schedule
Please change the time of compliance review discussion to 3 pm,modify
Send an email to Grace about the project update please,email
What happened in the all-hands? please,meeting_query
Can you cancel the meeting about sales pipeline,cancel
Urgently add a task to follow up on compliance review,task
Move the design sprint meeting to next week please,modify
"Hey, Email Tina the meeting notes",email
set my focus area to hr,set_preference
SET UP A CALL WITH ETHAN ABOUT API INTEGRATION,schedule
"Hey, Add a task to follow up on sales pipeline",task
Schedule a meeting about API integration tomorrow morning!,schedule
Compose a message about the marketing campaign decisions please,draft_email
Please compose a message about the data pipeline decisions,draft_email
Please schedule a meeting about bug triage next sprint,schedule
Show me notes from the last design review please,meeting_query
Please remove the code review session from my calendar,cancel
Could you send an email to charlie about the project update?,email
Urgently schedule a meeting about feature roadmap this afternoon at 5 pm,schedule
TL;DR of user research discussion please,summarize
"Hey, What was decided about user research?",question
Could you assign isha to review the document?,task
I want to schedule a meeting about project timeline march 15 at 9 am,schedule
Email Mike the meeting notes please,email
well done,greeting
set up a call with ian about data pipeline,schedule
Draft a recap email about Q3 budget!,draft_email
"Hey, When is CloudFirst launching?",question
Could you can you summarize the discussion on feature roadmap??,question
Could you send an email to quinn about the project update?,email
set up a call with grace about bug triage,schedule
Can you schedule a meeting about client feedback end of day,schedule
"Hey, Set up a call with Deepa about board meeting",schedule
pull up the roadmap alignment transcript,meeting_query
Cancel the meeting about database migration!,cancel
"Hey, What was decided about sales pipeline?",question
Set up a call with John about database migration,schedule
Schedule a meeting about API integration this Thursday at noon!,schedule
"Hey, Send a follow-up about security audit",email
Urgently change department to design,set_preference
Can you what was decided about database migration?,question
Could you set up a call with fiona about partnership deal?,schedule
Can you can you summarize the discussion on design sprint?,question
I want to what was decided about bug triage?,question
Can you what's the status of devops central?,question
Please what was decided about partnership deal?,question
Could you cancel the meeting about data pipeline?,cancel
Urgently set up a call with isha about user research,schedule
"Hey, Set up a call with Sam about infrastructure upgrade",schedule
Create an action item for compliance review please,task
schedule a meeting about infrastructure upgrade tomorrow at 10 am,schedule
I want to schedule a meeting about client feedback today at 4 pm,schedule
I want to move the client feedback meeting to next week,modify
SCHEDULE A MEETING ABOUT PRICING MODEL NEXT MONDAY AT 2 PM,schedule
Could you tl;dr of sprint review discussion?,summarize
Schedule a meeting about UI redesign March 15 at 9 AM please,schedule
"Hey, How are you, Rachel here",greeting
Can you assign john to review the document,task
Schedule a meeting about client feedback March 15 at 9 AM please,schedule
Pull up the design review transcript!,meeting_query
Can you set up a call with zach about security audit,schedule
Urgently show me notes from the last training workshop,meeting_query
I want to schedule a meeting about sales pipeline tomorrow morning,schedule
Please schedule a meeting about ui redesign next sprint,schedule
I want to tl;dr of q3 budget discussion,summarize
Can you add a task to follow up on q3 budget,task
Urgently what's the status of userinsight?,question
CREATE AN ACTION ITEM FOR QUARTERLY GOALS,task
schedule a meeting about compliance review friday at 3:30 pm,schedule
Can you set up a call with bella about product launch,schedule
Could you show me notes from the last retrospective?,meeting_query
can you summarize the discussion on user research?,question
I want to schedule a meeting about code review next monday at 2 pm,schedule
TL;DR of deployment strategy discussion please,summarize
I want to draft a recap email about team standup,draft_email
I want to move the api integration meeting to next week,modify
Urgently draft a recap email about customer onboarding,draft_email
SET UP A CALL WITH KIRA ABOUT DESIGN SPRINT,schedule
Please draft a recap email about data pipeline,draft_email
Urgently email isha the meeting notes,email
Urgently set up a call with zach about performance review,schedule
Can you tl;dr of api integration discussion,summarize
schedule a meeting about data pipeline this afternoon at 5 pm,schedule
WHAT WAS DECIDED ABOUT Q3 BUDGET?,question
Please schedule a meeting about client feedback the day after tomorrow,schedule
Can you add a task to follow up on api integration,task
Remind me to check performance review by end of week please,task
draft a message to hiro@company.com,draft_email
Schedule a meeting about security audit next Wednesday at 11 AM!,schedule
Could you schedule a meeting about bug triage march 15 at 9 am?,schedule
Can you set up a call with nate about vendor contract,schedule
"Hey, Show me notes from the last all-hands",meeting_query
I want to schedule a meeting about feature roadmap next monday at 2 pm,schedule
Please set up a call with uma about api integration,schedule
Urgently remind me to check user research by end of week,task
"Hey, Tina here please",greeting
Who is responsible for sprint review?!,question
Can you what's the status of mobileedge?,question
Set up a call with George about pricing model!,schedule
"Hey, Schedule a meeting about client feedback the day after tomorrow",schedule
Can you when is datavault launching?,question
I want to schedule a meeting about user research next monday at 2 pm,schedule
Remind me to check feature roadmap by end of week,task
schedule a meeting about partnership deal today at 4 pm,schedule
Can you send an email to laura about the project update,email
"Hey, Schedule a meeting about product launch this Thursday at noon",schedule
Can you what did ethan say in the meeting?,meeting_query
I want to send a follow-up about team standup,email
I want to set up a call with nina about compliance review,schedule
CREATE AN ACTION ITEM FOR HIRING PLAN,task
ENABLE DARK MODE NOTIFICATIONS,set_preference
Remove the sprint review session from my calendar please,cancel
Schedule a meeting about code review next sprint!,schedule
Draft a message to charlie@company.com,draft_email
Set up a call with Fiona about feature roadmap please,schedule
set up a call with oscar about database migration,schedule
Urgently schedule a meeting about infrastructure upgrade tomorrow at 10 am,schedule
Send an email to Oscar about the project update!,email
Cancel the meeting about client feedback!,cancel
Please draft a recap email about vendor contract,draft_email
I want to schedule a meeting about investor update tomorrow at 10 am,schedule
SCHEDULE A MEETING ABOUT PERFORMANCE REVIEW THIS THURSDAY AT NOON,schedule
