text,label
Why did we choose client feedback?,question
"To answer that, we can discuss pricing model offline.",statement
"Who is handling security audit?, right?",question
"Well, should we prioritize q3 budget?",question
I think hiro is leading infrastructure upgrade this quarter.,answer
"We decided to go with option A for quarterly goals, right?",answer
"Actually, let me share my screen for board meeting.",statement
"So, pricing model is currently in the testing phase.",answer
What is the timeline for database migration?,question
Can we demo DevOps Central?,question
"Just to clarify, the client signed off on product launch yesterday.",answer
"Actually, that's an interesting perspective on product launch.",statement
"To answer that, when was feature roadmap last updated?",question
I think are there risks with q3 budget?,question
I think noted on q3 budget.,statement
Has Pipeline Pro been approved?,question
I think noted on investor update.,statement
"Actually, we'll complete vendor contract by end of march.",answer
"Well, who approved product launch?",question
"Actually, has sprint review been approved?",question
I think when do we need to finish bug triage?,question
"Actually, the recording is on for this session.",statement
I think are there risks with database migration?,question
I think we'll complete infrastructure upgrade by end of march.,answer
"Well, who is handling feature roadmap?",question
"Just to clarify, no, a/b testing hasn't started yet.",answer
"So, when do we need to finish product launch?",question
We can discuss quarterly goals offline.,statement
"So, can we demo vendor contract?",question
"Should we prioritize API integration?, right?",question
What is the timeline for database migration?,question
"The cost estimate for quarterly goals is $30,000.",answer
I think what blockers are there for compliance review?,question
"Just to clarify, we'll complete code review by end of march.",answer
I think i think we've covered training session sufficiently.,statement
"Well, that makes sense for performance review.",statement
"So, hannah will present product launch at the next review.",answer
"Just to clarify, data pipeline is 80% complete as of today.",answer
"To answer that, the cost estimate for sales pipeline is $30,000.",answer
"To answer that, we should table customer onboarding for now.",statement
"To answer that, the recording is on for this session.",statement
"So, that makes sense for hiring plan.",statement
"Actually, we're on track with project timeline, no blockers.",answer
"That's an interesting perspective on board meeting, right?",statement
"To answer that, the deadline for sales pipeline is next friday.",answer
"Well, the client signed off on infrastructure upgrade yesterday.",answer
"Actually, thanks for that update on pricing model.",statement
"When was client feedback last updated?, right?",question
"We can discuss security audit offline, right?",statement
I think what is the timeline for hiring plan?,question
"So, i agree with the approach for api integration.",statement
"Well, should we prioritize project alpha?",question
"Actually, when was api integration last updated?",question
"To answer that, have we started bug triage?",question
Are there risks with feature roadmap?,question
"The team agreed to postpone A/B testing to next sprint, right?",answer
Why did we choose security audit?,question
"Actually, the recording is on for this session.",statement
"I think yes, performance review has been approved by management.",answer
"Actually, noted on design sprint.",statement
I think let's keep this meeting focused.,statement
Good point about A/B testing.,statement
"Just to clarify, is the client happy with performance review?",question
"We've allocated three engineers to feature roadmap, right?",answer
Has MobileEdge been approved?,question
Have we started design sprint?,question
"So, let me share my screen for security audit.",statement
We've allocated three engineers to compliance review.,answer
I think when was q3 budget last updated?,question
"So, we've allocated three engineers to q3 budget.",answer
I think are there risks with a/b testing?,question
I think who approved performance review?,question
I think moving on from client feedback.,statement
We'll complete deployment strategy by end of March.,answer
"I think no, customer onboarding hasn't started yet.",answer
"Yes, deployment strategy has been approved by management, right?",answer
"Actually, moving on from hiring plan.",statement
"Just to clarify, is growth engine on track?",question
Let me share my screen for board meeting.,statement
"Actually, can we demo smartdash?",question
"I think no, partnership deal hasn't started yet.",answer
"To answer that, let's keep this meeting focused.",statement
What do you think about A/B testing?,question
"Yes, partnership deal has been approved by management.",answer
"Just to clarify, when was deployment strategy last updated?",question
I think can we demo userinsight?,question
"Well, that makes sense for customer onboarding.",statement
"To answer that, i think we've covered ui redesign sufficiently.",statement
"Well, what do you think about a/b testing?",question
"So, what blockers are there for board meeting?",question
Let me pull up the data for performance review.,statement
What do you think about deployment strategy?,question
"When do we need to finish UI redesign?, right?",question
Did anyone follow up on Titan Build?,question
I think has deployment strategy been approved?,question
"Did anyone follow up on customer onboarding?, right?",question
Good point about database migration.,statement
"Well, what is the timeline for quarterly goals?",question
"Just to clarify, have we started security audit?",question
"Oscar will present hiring plan at the next review, right?",answer
"Well, nate is leading ui redesign this quarter.",answer
"So, thanks for that update on q3 budget.",statement
"That's an interesting perspective on UI redesign, right?",statement
"To answer that, are there risks with hiring plan?",question
"To answer that, when do we need to finish user research?",question
"Noted on vendor contract, right?",statement
"Just to clarify, we can discuss sprint review offline.",statement
"The client signed off on code review yesterday, right?",answer
"Actually, yes, investor update has been approved by management.",answer
"Just to clarify, has hiring plan been approved?",question
"So, what is the timeline for quarterly goals?",question
I think what's the next step for quarterly goals?,question
"Well, yara will present sales pipeline at the next review.",answer
"Noted on deployment strategy, right?",statement
A/B testing is currently in the testing phase.,answer
I think let's move on to the next topic.,statement
What's the next step for customer onboarding?,question
I think that makes sense for design sprint.,statement
"So, ian will present training session at the next review.",answer
"Is SmartDash on track?, right?",question
"Who approved project timeline?, right?",question
"Actually, let me pull up the data for product launch.",statement
"Well, we should table training session for now.",statement
That's an interesting perspective on board meeting.,statement
"Is user research on track?, right?",question
"Actually, who is handling investor update?",question
We'll complete investor update by end of March.,answer
"The cost estimate for team standup is $30,000.",answer
"Let me pull up the data for training session, right?",statement
"Actually, we can discuss hiring plan offline.",statement
When do we need to finish design sprint?,question
What's the next step for bug triage?,question
"Just to clarify, i think we've covered product launch sufficiently.",statement
"Actually, what do you think about database migration?",question
"Just to clarify, should we prioritize nexus platform?",question
I think we've allocated three engineers to infrastructure upgrade.,answer
"Well, have we started pipeline pro?",question
"Should we prioritize Phoenix Initiative?, right?",question
"I think no, partnership deal hasn't started yet.",answer
"I think yes, client feedback has been approved by management.",answer
Have we started hiring plan?,question
"We'll complete customer onboarding by end of March, right?",answer
"To answer that, should we prioritize sales pipeline?",question
"To answer that, do we have metrics for project timeline?",question
I think the recording is on for this session.,statement
"To answer that, thanks for that update on project timeline.",statement
I think the client signed off on sprint review yesterday.,answer
I think let me pull up the data for customer onboarding.,statement
"Thanks for that update on partnership deal, right?",statement
"So, that's an interesting perspective on user research.",statement
"To answer that, the cost estimate for compliance review is $30,000.",answer
I think i agree with the approach for api integration.,statement
"To answer that, who approved project beta?",question
"Just to clarify, we should table api integration for now.",statement
"The cost estimate for training session is $30,000.",answer
"To answer that, we've allocated three engineers to design sprint.",answer
"So, are there risks with board meeting?",question
We can discuss code review offline.,statement
"I agree with the approach for Q3 budget, right?",statement
"We decided to go with option A for project timeline, right?",answer
"Well, what's the next step for pricing model?",question
"So, noted on q3 budget.",statement
"So, can someone explain pricing model?",question
"Actually, carlos will present feature roadmap at the next review.",answer
"Well, the budget for sales pipeline is $50,000.",answer
"To answer that, what's the next step for product launch?",question
"Just to clarify, what's the next step for quarterly goals?",question
"Well, should we prioritize training session?",question
"So, the deadline for ui redesign is next friday.",answer
I think has partnership deal been approved?,question
product launch is 80% complete as of today.,answer
I think diana is leading board meeting this quarter.,answer
"Well, let me pull up the data for product launch.",statement
"Well, can someone explain api integration?",question
The client signed off on user research yesterday.,answer
"To answer that, what do you think about api integration?",question
"Just to clarify, is smartdash on track?",question
"So, yes, vendor contract has been approved by management.",answer
When was marketing campaign last updated?,question
The deadline for deployment strategy is next Friday.,answer
I think have we started nexus platform?,question
"Just to clarify, the deadline for training session is next friday.",answer
"What blockers are there for design sprint?, right?",question
"investor update is 80% complete as of today, right?",answer
"Well, noted on bug triage.",statement
I think the client signed off on partnership deal yesterday.,answer
"Just to clarify, can we demo team standup?",question
"Just to clarify, ian is leading q3 budget this quarter.",answer
Can someone explain feature roadmap?,question
"Actually, good point about team standup.",statement
I think nate is leading vendor contract this quarter.,answer
"Just to clarify, who is handling partnership deal?",question
"Just to clarify, we can discuss performance review offline.",statement
"Actually, who is handling ui redesign?",question
The client signed off on quarterly goals yesterday.,answer
Can someone explain customer onboarding?,question
"Well, did anyone follow up on bug triage?",question
"Just to clarify, have we started sprint review?",question
Is the client happy with DevOps Central?,question
"Actually, is design sprint on track?",question
I agree with the approach for partnership deal.,statement
"The client signed off on pricing model yesterday, right?",answer
"Well, no, quarterly goals hasn't started yet.",answer
What is the timeline for investor update?,question
I think let me pull up the data for quarterly goals.,statement
The client signed off on board meeting yesterday.,answer
"Do we have metrics for code review?, right?",question
"Let's move on to the next topic, right?",statement
"Well, who is handling ui redesign?",question
Should we prioritize code review?,question
"Well, i think we've covered pricing model sufficiently.",statement
I think good point about infrastructure upgrade.,statement
"Well, can we demo phoenix initiative?",question
"Just to clarify, we should table project timeline for now.",statement
"To answer that, the deadline for compliance review is next friday.",answer
"Well, why did we choose user research?",question
"So, yes, database migration has been approved by management.",answer
Can someone explain team standup?,question
"Just to clarify, have we started investor update?",question
Good point about API integration.,statement
"We've allocated three engineers to deployment strategy, right?",answer
Have we started Pipeline Pro?,question
"So, the cost estimate for q3 budget is $30,000.",answer
"Yes, customer onboarding has been approved by management.",answer
"Should we prioritize sales pipeline?, right?",question
"Well, the client signed off on code review yesterday.",answer
What blockers are there for Operation Mercury?,question
"Actually, can we demo feature roadmap?",question
"Can someone explain sprint review?, right?",question
We should table board meeting for now.,statement
"So, did anyone follow up on q3 budget?",question
What do you think about feature roadmap?,question
"Can we demo bug triage?, right?",question
I think what blockers are there for performance review?,question
"To answer that, can someone explain client feedback?",question
"Actually, should we prioritize phoenix initiative?",question
I think noted on investor update.,statement
"The recording is on for this session, right?",statement
I think what is the timeline for client feedback?,question
How much will compliance review cost?,question
I think is performance review on track?,question
"Actually, no, client feedback hasn't started yet.",answer
Noted on investor update.,statement
"Just to clarify, who is handling mobileedge?",question
"Well, has compliance review been approved?",question
"The recording is on for this session, right?",statement
"Well, how much will performance review cost?",question
I think thanks for that update on deployment strategy.,statement
I think let me pull up the data for project timeline.,statement
I think should we prioritize growth engine?,question
I think should we prioritize bug triage?,question
"No, A/B testing hasn't started yet.",answer
"Well, we're on track with vendor contract, no blockers.",answer
"To answer that, when do we need to finish performance review?",question
"Well, we can discuss sprint review offline.",statement
"Noted on feature roadmap, right?",statement
"To answer that, we've allocated three engineers to feature roadmap.",answer
"Just to clarify, what do you think about ui redesign?",question
"Just to clarify, is compliance review on track?",question
"Actually, how much will security audit cost?",question
"Actually, we'll complete design sprint by end of march.",answer
"Actually, the deadline for customer onboarding is next friday.",answer
"To answer that, are there risks with sprint review?",question
"Actually, noted on client feedback.",statement
"The deadline for client feedback is next Friday, right?",answer
"The recording is on for this session, right?",statement
"Just to clarify, the recording is on for this session.",statement
"Actually, has user research been approved?",question
"So, we should table deployment strategy for now.",statement
"Actually, that makes sense for design sprint.",statement
"Just to clarify, noted on product launch.",statement
"Just to clarify, yes, quarterly goals has been approved by management.",answer
"Good point about customer onboarding, right?",statement
"Have we started feature roadmap?, right?",question
"Well, the cost estimate for performance review is $30,000.",answer
When was vendor contract last updated?,question
I think who is handling customer onboarding?,question
"Actually, who approved phoenix initiative?",question
"Just to clarify, what blockers are there for product launch?",question
"To answer that, who is handling api integration?",question
"To answer that, when do we need to finish q3 budget?",question
"That's an interesting perspective on quarterly goals, right?",statement
user research is 80% complete as of today.,answer
"Actually, how much will titan build cost?",question
I think who is handling nexus platform?,question
"Just to clarify, is deployment strategy on track?",question
"Just to clarify, when do we need to finish smartdash?",question
"Well, let me share my screen for design sprint.",statement
"Actually, who is handling investor update?",question
"Well, training session is currently in the testing phase.",answer
Have we started performance review?,question
"Why did we choose DataVault?, right?",question
"So, noted on api integration.",statement
"Actually, has partnership deal been approved?",question
"So, i agree with the approach for user research.",statement
"Well, yara will present infrastructure upgrade at the next review.",answer
"To answer that, feature roadmap is currently in the testing phase.",answer
"So, we should table performance review for now.",statement
"To answer that, that's an interesting perspective on sprint review.",statement
"To answer that, should we prioritize feature roadmap?",question
Moving on from design sprint.,statement
"The recording is on for this session, right?",statement
I think what do you think about bug triage?,question
We've allocated three engineers to code review.,answer
"So, we've allocated three engineers to sprint review.",answer
I think can we demo api integration?,question
"Yes, investor update has been approved by management, right?",answer
That makes sense for A/B testing.,statement
"To answer that, thanks for that update on deployment strategy.",statement
"Did anyone follow up on feature roadmap?, right?",question
The recording is on for this session.,statement
"Just to clarify, the recording is on for this session.",statement
"To answer that, yes, training session has been approved by management.",answer
Why did we choose board meeting?,question
When do we need to finish database migration?,question
"To answer that, the team agreed to postpone vendor contract to next sprint.",answer
Has database migration been approved?,question
"Let's move on to the next topic, right?",statement
"Just to clarify, what blockers are there for code review?",question
"To answer that, i think we've covered a/b testing sufficiently.",statement
Let me share my screen for data pipeline.,statement
"Just to clarify, that makes sense for hiring plan.",statement
"Just to clarify, we can discuss database migration offline.",statement
I think i think we've covered client feedback sufficiently.,statement
"So, we'll complete partnership deal by end of march.",answer
"Let's keep this meeting focused, right?",statement
"Actually, should we prioritize ui redesign?",question
"Just to clarify, we'll complete sales pipeline by end of march.",answer
"Just to clarify, the budget for team standup is $50,000.",answer
"Actually, thanks for that update on hiring plan.",statement
Who approved API integration?,question
I think thanks for that update on user research.,statement
"So, when was ai core last updated?",question
"Actually, let me pull up the data for feature roadmap.",statement
"Well, what is the timeline for pipeline pro?",question
"To answer that, no, investor update hasn't started yet.",answer
"To answer that, no, hiring plan hasn't started yet.",answer
"Actually, have we started feature roadmap?",question
Let's move on to the next topic.,statement
"Can someone explain performance review?, right?",question
"Just to clarify, let's move on to the next topic.",statement
"Just to clarify, who approved quarterly goals?",question
"feature roadmap is currently in the testing phase, right?",answer
Thanks for that update on pricing model.,statement
"To answer that, i agree with the approach for q3 budget.",statement
"The client signed off on database migration yesterday, right?",answer
When was client feedback last updated?,question
"To answer that, who approved feature roadmap?",question
"Actually, we'll complete sprint review by end of march.",answer
"Well, let me share my screen for data pipeline.",statement
I think the team agreed to postpone board meeting to next sprint.,answer
Moving on from vendor contract.,statement
"Just to clarify, we're on track with training session, no blockers.",answer
"Well, how much will horizon 2.0 cost?",question
Let's keep this meeting focused.,statement
"So, elena is leading marketing campaign this quarter.",answer
"Can someone explain product launch?, right?",question
"Well, the budget for ui redesign is $50,000.",answer
"Well, moving on from marketing campaign.",statement
"To answer that, we should table pricing model for now.",statement
"Actually, did anyone follow up on compliance review?",question
I think let's keep this meeting focused.,statement
"We're on track with code review, no blockers.",answer
"To answer that, what's the next step for vendor contract?",question
Can someone explain deployment strategy?,question
"To answer that, have we started team standup?",question
"Has Nexus Platform been approved?, right?",question
I think what is the timeline for training session?,question
"To answer that, we should table api integration for now.",statement
"Just to clarify, the recording is on for this session.",statement
"Just to clarify, is partnership deal on track?",question
"To answer that, amit will present security audit at the next review.",answer
When was board meeting last updated?,question
"Just to clarify, no, project timeline hasn't started yet.",answer
That's an interesting perspective on pricing model.,statement
"So, moving on from api integration.",statement
I think i agree with the approach for compliance review.,statement
Is the client happy with user research?,question
"Well, noted on ui redesign.",statement
"Just to clarify, the deadline for database migration is next friday.",answer
"So, should we prioritize database migration?",question
I think do we have metrics for team standup?,question
"Actually, the deadline for customer onboarding is next friday.",answer
Did anyone follow up on training session?,question
What is the timeline for training session?,question
"Well, what blockers are there for board meeting?",question
"Let's keep this meeting focused, right?",statement
Should we prioritize marketing campaign?,question
"Can someone explain bug triage?, right?",question
"Well, bob is leading hiring plan this quarter.",answer
Is CloudFirst on track?,question
We should table training session for now.,statement
"Well, what blockers are there for data pipeline?",question
"To answer that, let's move on to the next topic.",statement
Has API integration been approved?,question
"To answer that, let me pull up the data for ui redesign.",statement
Can someone explain training session?,question
Can someone explain SmartDash?,question
"Well, what's the next step for data pipeline?",question
"To answer that, the budget for marketing campaign is $50,000.",answer
"We'll complete product launch by end of March, right?",answer
"Actually, i agree with the approach for pricing model.",statement
"I think we've covered customer onboarding sufficiently, right?",statement
"Actually, is the client happy with data pipeline?",question
"Well, should we prioritize q3 budget?",question
"So, moving on from deployment strategy.",statement
"So, what blockers are there for api integration?",question
Deepa will present quarterly goals at the next review.,answer
I think what's the next step for training session?,question
"Just to clarify, i think we've covered sprint review sufficiently.",statement
Who approved marketing campaign?,question
"Well, let's move on to the next topic.",statement
"I think we're on track with data pipeline, no blockers.",answer
"Actually, did anyone follow up on user research?",question
"Well, how much will hiring plan cost?",question
"Well, that's an interesting perspective on partnership deal.",statement
"Just to clarify, let me pull up the data for vendor contract.",statement
"I think we're on track with investor update, no blockers.",answer
"So, what is the timeline for api integration?",question
"Who approved sprint review?, right?",question
When was project timeline last updated?,question
"Just to clarify, we're on track with q3 budget, no blockers.",answer
Can someone explain Q3 budget?,question
"So, the cost estimate for design sprint is $30,000.",answer
I think let's keep this meeting focused.,statement
"Just to clarify, quarterly goals is 80% complete as of today.",answer
"Well, the recording is on for this session.",statement
"Just to clarify, can someone explain smartdash?",question
"To answer that, the client signed off on database migration yesterday.",answer
